state,district,date,forecast_next_month,forecast_level,recommended_action
Chhattisgarh,Dhamtari,2025-03-31,12583.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Dhamtari,2025-05-31,12942.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Dhamtari,2025-07-31,13447.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Dhamtari,2025-09-30,12034.666666666666,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Dhamtari,2025-10-31,7803.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Dhamtari,2025-11-30,3246.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Dhamtari,2025-12-31,1054.0,Medium Demand,Extend working hours
Chhattisgarh,Durg,2025-03-31,16010.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Durg,2025-04-30,19261.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Durg,2025-06-30,22175.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Durg,2025-07-31,25040.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Durg,2025-09-30,22944.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Durg,2025-10-31,13908.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Durg,2025-11-30,6572.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Durg,2025-12-31,2115.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Gariyaband,2025-03-31,3698.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Gariyaband,2025-09-30,4460.5,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Gariyaband,2025-10-31,3215.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Gariyaband,2025-11-30,2308.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Gariyaband,2025-12-31,1132.6666666666667,Medium Demand,Extend working hours
Chhattisgarh,Gaurela-pendra-marwahi,2025-03-31,617.0,Medium Demand,Extend working hours
Chhattisgarh,Gaurela-pendra-marwahi,2025-09-30,411.0,Low Demand,No action required
Chhattisgarh,Gaurela-pendra-marwahi,2025-10-31,298.3333333333333,Low Demand,No action required
Chhattisgarh,Gaurela-pendra-marwahi,2025-11-30,123.33333333333333,Low Demand,No action required
Chhattisgarh,Gaurela-pendra-marwahi,2025-12-31,127.0,Low Demand,No action required
Chhattisgarh,Janjgir - Champa,2025-09-30,49.0,Low Demand,No action required
Chhattisgarh,Janjgir - Champa,2025-10-31,27.5,Low Demand,No action required
Chhattisgarh,Janjgir - Champa,2025-11-30,23.333333333333332,Low Demand,No action required
Chhattisgarh,Janjgir - Champa,2025-12-31,18.666666666666668,Low Demand,No action required
Chhattisgarh,Janjgir Champa,2025-09-30,48.0,Low Demand,No action required
Chhattisgarh,Janjgir Champa,2025-10-31,27.5,Low Demand,No action required
Chhattisgarh,Janjgir Champa,2025-11-30,21.333333333333332,Low Demand,No action required
Chhattisgarh,Janjgir Champa,2025-12-31,15.0,Low Demand,No action required
Chhattisgarh,Janjgir-champa,2025-03-31,20651.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Janjgir-champa,2025-05-31,19320.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Janjgir-champa,2025-06-30,21945.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Janjgir-champa,2025-07-31,24035.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Janjgir-champa,2025-09-30,23122.666666666668,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Janjgir-champa,2025-10-31,14787.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Janjgir-champa,2025-11-30,6692.666666666667,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Janjgir-champa,2025-12-31,3083.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Jashpur,2025-03-31,6573.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Jashpur,2025-04-30,7563.5,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Jashpur,2025-06-30,10549.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Jashpur,2025-09-30,10345.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Jashpur,2025-10-31,7864.333333333333,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Jashpur,2025-11-30,3217.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Jashpur,2025-12-31,2305.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kabeerdham,2025-03-31,3398.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kabeerdham,2025-05-31,4501.5,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kabeerdham,2025-09-30,3928.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kabeerdham,2025-10-31,2908.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kabeerdham,2025-11-30,1219.3333333333333,Medium Demand,Extend working hours
Chhattisgarh,Kabeerdham,2025-12-31,602.6666666666666,Medium Demand,Extend working hours
Chhattisgarh,Kanker,2025-03-31,5005.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kanker,2025-06-30,7927.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kanker,2025-09-30,6782.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kanker,2025-10-31,5250.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kanker,2025-11-30,2098.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kanker,2025-12-31,1257.0,Medium Demand,Extend working hours
Chhattisgarh,Kawardha,2025-03-31,8644.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kawardha,2025-09-30,7787.5,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kawardha,2025-10-31,5250.666666666667,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kawardha,2025-11-30,2749.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kawardha,2025-12-31,1211.0,Medium Demand,Extend working hours
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-07-31,1962.0,Medium Demand,Extend working hours
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-09-30,1222.0,Medium Demand,Extend working hours
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-10-31,835.6666666666666,Medium Demand,Extend working hours
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-11-30,284.0,Low Demand,No action required
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-12-31,253.33333333333334,Low Demand,No action required
Chhattisgarh,Kondagaon,2025-03-31,3198.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kondagaon,2025-09-30,3994.5,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kondagaon,2025-10-31,2781.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kondagaon,2025-11-30,2149.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Kondagaon,2025-12-31,1545.6666666666667,Medium Demand,Extend working hours
Chhattisgarh,Korba,2025-03-31,13012.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Korba,2025-04-30,13757.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Korba,2025-05-31,13675.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Korba,2025-06-30,16648.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Korba,2025-07-31,18101.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Korba,2025-09-30,17379.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Korba,2025-10-31,10462.666666666666,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Korba,2025-11-30,4496.333333333333,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Korba,2025-12-31,1410.6666666666667,Medium Demand,Extend working hours
Chhattisgarh,Koriya,2025-03-31,4955.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Koriya,2025-04-30,6162.5,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Koriya,2025-06-30,9088.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Koriya,2025-09-30,9201.666666666666,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Koriya,2025-10-31,7069.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Koriya,2025-11-30,2533.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Koriya,2025-12-31,1167.3333333333333,Medium Demand,Extend working hours
Chhattisgarh,Mahasamund,2025-03-31,9611.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mahasamund,2025-04-30,12899.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mahasamund,2025-05-31,12466.666666666666,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mahasamund,2025-06-30,25122.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mahasamund,2025-07-31,24565.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mahasamund,2025-09-30,23433.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mahasamund,2025-10-31,7995.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mahasamund,2025-11-30,3811.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mahasamund,2025-12-31,2099.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-09-30,389.0,Low Demand,No action required
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-10-31,289.5,Low Demand,No action required
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-11-30,274.0,Low Demand,No action required
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-12-31,281.0,Low Demand,No action required
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-09-30,14.0,Low Demand,No action required
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-10-31,7.5,Low Demand,No action required
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-11-30,7.333333333333333,Low Demand,No action required
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-12-31,4.0,Low Demand,No action required
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-03-31,279.0,Low Demand,No action required
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-06-30,1996.5,Medium Demand,Extend working hours
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-09-30,1699.3333333333333,Medium Demand,Extend working hours
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-10-31,1680.0,Medium Demand,Extend working hours
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-11-30,719.6666666666666,Medium Demand,Extend working hours
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-12-31,834.3333333333334,Medium Demand,Extend working hours
Chhattisgarh,Mungeli,2025-03-31,11738.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mungeli,2025-05-31,11041.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mungeli,2025-06-30,10170.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mungeli,2025-07-31,13367.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mungeli,2025-09-30,12205.666666666666,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mungeli,2025-10-31,9755.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mungeli,2025-11-30,3170.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Mungeli,2025-12-31,2441.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Narayanpur,2025-07-31,8257.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Narayanpur,2025-09-30,5132.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Narayanpur,2025-10-31,3445.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Narayanpur,2025-11-30,710.3333333333334,Medium Demand,Extend working hours
Chhattisgarh,Narayanpur,2025-12-31,187.33333333333334,Low Demand,No action required
Chhattisgarh,Raigarh,2025-03-31,18541.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Raigarh,2025-09-30,23359.5,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Raigarh,2025-10-31,16269.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Raigarh,2025-11-30,10966.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Raigarh,2025-12-31,3166.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Raipur,2025-03-31,18257.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Raipur,2025-04-30,19942.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Raipur,2025-05-31,22057.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Raipur,2025-06-30,26857.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Raipur,2025-07-31,30889.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Raipur,2025-09-30,27851.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Raipur,2025-10-31,17430.666666666668,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Raipur,2025-11-30,7562.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Raipur,2025-12-31,2821.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Rajnandgaon,2025-03-31,22900.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Rajnandgaon,2025-05-31,19019.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Rajnandgaon,2025-06-30,31368.666666666668,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Rajnandgaon,2025-09-30,27973.666666666668,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Rajnandgaon,2025-10-31,23245.666666666668,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Rajnandgaon,2025-11-30,5309.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Rajnandgaon,2025-12-31,2312.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Sakti,2025-03-31,203.0,Low Demand,No action required
Chhattisgarh,Sakti,2025-09-30,476.0,Low Demand,No action required
Chhattisgarh,Sakti,2025-10-31,376.0,Low Demand,No action required
Chhattisgarh,Sakti,2025-11-30,491.3333333333333,Low Demand,No action required
Chhattisgarh,Sakti,2025-12-31,433.6666666666667,Low Demand,No action required
Chhattisgarh,Sarangarh-Bilaigarh,2025-09-30,579.0,Medium Demand,Extend working hours
Chhattisgarh,Sarangarh-Bilaigarh,2025-10-31,347.5,Low Demand,No action required
Chhattisgarh,Sarangarh-Bilaigarh,2025-11-30,351.3333333333333,Low Demand,No action required
Chhattisgarh,Sarangarh-Bilaigarh,2025-12-31,423.3333333333333,Low Demand,No action required
Chhattisgarh,Sukma,2025-03-31,2151.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Sukma,2025-09-30,2868.5,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Sukma,2025-10-31,1981.6666666666667,Medium Demand,Extend working hours
Chhattisgarh,Sukma,2025-11-30,1475.3333333333333,Medium Demand,Extend working hours
Chhattisgarh,Sukma,2025-12-31,642.6666666666666,Medium Demand,Extend working hours
Chhattisgarh,Surajpur,2025-03-31,7915.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Surajpur,2025-09-30,8403.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Surajpur,2025-10-31,6081.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Surajpur,2025-11-30,3881.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Surajpur,2025-12-31,1943.3333333333333,Medium Demand,Extend working hours
Chhattisgarh,Surguja,2025-03-31,10725.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Surguja,2025-04-30,13461.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Surguja,2025-06-30,13780.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Surguja,2025-07-31,17200.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Surguja,2025-09-30,15626.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Surguja,2025-10-31,11389.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Surguja,2025-11-30,4902.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Surguja,2025-12-31,2583.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Uttar Bastar Kanker,2025-03-31,1624.0,Medium Demand,Extend working hours
Chhattisgarh,Uttar Bastar Kanker,2025-09-30,2266.0,High Demand,Deploy mobile Aadhaar van / add staff
Chhattisgarh,Uttar Bastar Kanker,2025-10-31,1586.3333333333333,Medium Demand,Extend working hours
Chhattisgarh,Uttar Bastar Kanker,2025-11-30,1237.0,Medium Demand,Extend working hours
Chhattisgarh,Uttar Bastar Kanker,2025-12-31,514.0,Medium Demand,Extend working hours
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-09-30,102.0,Low Demand,No action required
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-10-31,54.0,Low Demand,No action required
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-11-30,36.666666666666664,Low Demand,No action required
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-12-31,4.666666666666667,Low Demand,No action required
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2025-09-30,5432.0,High Demand,Deploy mobile Aadhaar van / add staff
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2025-10-31,2766.0,High Demand,Deploy mobile Aadhaar van / add staff
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2025-11-30,1870.6666666666667,Medium Demand,Extend working hours
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2025-12-31,208.66666666666666,Low Demand,No action required
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2025-09-30,291.0,Low Demand,No action required
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2025-10-31,195.5,Low Demand,No action required
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2025-11-30,140.33333333333334,Low Demand,No action required
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2025-12-31,88.33333333333333,Low Demand,No action required
Dadra and Nagar Haveli and Daman and Diu,Daman,2025-09-30,93.0,Low Demand,No action required
Dadra and Nagar Haveli and Daman and Diu,Daman,2025-10-31,60.0,Low Demand,No action required
Dadra and Nagar Haveli and Daman and Diu,Daman,2025-11-30,53.0,Low Demand,No action required
Dadra and Nagar Haveli and Daman and Diu,Daman,2025-12-31,43.666666666666664,Low Demand,No action required
Dadra and Nagar Haveli and Daman and Diu,Diu,2025-03-31,126.0,Low Demand,No action required
Dadra and Nagar Haveli and Daman and Diu,Diu,2025-09-30,78.5,Low Demand,No action required
Dadra and Nagar Haveli and Daman and Diu,Diu,2025-10-31,55.666666666666664,Low Demand,No action required
Dadra and Nagar Haveli and Daman and Diu,Diu,2025-11-30,17.0,Low Demand,No action required
Dadra and Nagar Haveli and Daman and Diu,Diu,2025-12-31,15.0,Low Demand,No action required
Daman & Diu,Daman,2025-09-30,132.0,Low Demand,No action required
Daman & Diu,Daman,2025-10-31,68.5,Low Demand,No action required
Daman & Diu,Daman,2025-11-30,53.0,Low Demand,No action required
Daman & Diu,Daman,2025-12-31,13.333333333333334,Low Demand,No action required
Daman & Diu,Diu,2025-09-30,92.0,Low Demand,No action required
Daman & Diu,Diu,2025-10-31,48.5,Low Demand,No action required
Daman & Diu,Diu,2025-11-30,34.333333333333336,Low Demand,No action required
Daman & Diu,Diu,2025-12-31,7.666666666666667,Low Demand,No action required
Daman and Diu,Daman,2025-03-31,770.0,Medium Demand,Extend working hours
Daman and Diu,Daman,2025-09-30,680.0,Medium Demand,Extend working hours
Daman and Diu,Daman,2025-10-31,461.6666666666667,Low Demand,No action required
Daman and Diu,Daman,2025-11-30,235.66666666666666,Low Demand,No action required
Daman and Diu,Daman,2025-12-31,62.666666666666664,Low Demand,No action required
Daman and Diu,Diu,2025-09-30,234.0,Low Demand,No action required
Daman and Diu,Diu,2025-10-31,120.5,Low Demand,No action required
Daman and Diu,Diu,2025-11-30,83.33333333333333,Low Demand,No action required
Daman and Diu,Diu,2025-12-31,14.0,Low Demand,No action required
Darbhanga,Near University Thana,2025-12-31,2.0,Low Demand,No action required
Delhi,Central Delhi,2025-03-31,9302.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Central Delhi,2025-04-30,12107.5,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Central Delhi,2025-05-31,11129.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Central Delhi,2025-06-30,10661.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Central Delhi,2025-09-30,7549.333333333333,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Central Delhi,2025-10-31,4706.666666666667,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Central Delhi,2025-11-30,2363.6666666666665,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Central Delhi,2025-12-31,906.0,Medium Demand,Extend working hours
Delhi,East Delhi,2025-03-31,28986.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,East Delhi,2025-04-30,35565.5,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,East Delhi,2025-05-31,30935.666666666668,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,East Delhi,2025-06-30,28396.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,East Delhi,2025-07-31,25028.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,East Delhi,2025-09-30,22400.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,East Delhi,2025-10-31,15836.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,East Delhi,2025-11-30,5627.333333333333,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,East Delhi,2025-12-31,2077.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Najafgarh,2025-09-30,100.0,Low Demand,No action required
Delhi,Najafgarh,2025-10-31,54.5,Low Demand,No action required
Delhi,Najafgarh,2025-11-30,38.666666666666664,Low Demand,No action required
Delhi,Najafgarh,2025-12-31,10.666666666666666,Low Demand,No action required
Delhi,New Delhi,2025-03-31,996.0,Medium Demand,Extend working hours
Delhi,New Delhi,2025-09-30,765.5,Medium Demand,Extend working hours
Delhi,New Delhi,2025-10-31,525.3333333333334,Medium Demand,Extend working hours
Delhi,New Delhi,2025-11-30,213.0,Low Demand,No action required
Delhi,New Delhi,2025-12-31,59.0,Low Demand,No action required
Delhi,North Delhi,2025-03-31,11614.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North Delhi,2025-04-30,13281.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North Delhi,2025-06-30,12309.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North Delhi,2025-07-31,11859.333333333334,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North Delhi,2025-09-30,9069.666666666666,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North Delhi,2025-10-31,5790.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North Delhi,2025-11-30,2732.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North Delhi,2025-12-31,1115.6666666666667,Medium Demand,Extend working hours
Delhi,North East,2025-09-30,3394.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North East,2025-10-31,1740.5,Medium Demand,Extend working hours
Delhi,North East,2025-11-30,1299.0,Medium Demand,Extend working hours
Delhi,North East,2025-12-31,357.3333333333333,Low Demand,No action required
Delhi,North East Delhi,2025-03-31,28896.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North East Delhi,2025-04-30,36998.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North East Delhi,2025-05-31,34765.333333333336,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North East Delhi,2025-06-30,32012.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North East Delhi,2025-07-31,26489.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North East Delhi,2025-09-30,21313.666666666668,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North East Delhi,2025-10-31,14915.666666666666,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North East Delhi,2025-11-30,5675.333333333333,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North East Delhi,2025-12-31,1807.6666666666667,Medium Demand,Extend working hours
Delhi,North West Delhi,2025-03-31,82785.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North West Delhi,2025-04-30,89529.5,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North West Delhi,2025-05-31,79171.66666666667,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North West Delhi,2025-06-30,66844.66666666667,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North West Delhi,2025-07-31,56788.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North West Delhi,2025-09-30,47808.333333333336,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North West Delhi,2025-10-31,33245.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North West Delhi,2025-11-30,12661.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,North West Delhi,2025-12-31,4317.333333333333,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Shahdara,2025-03-31,3212.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Shahdara,2025-04-30,3666.5,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Shahdara,2025-07-31,4628.666666666667,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Shahdara,2025-09-30,3935.3333333333335,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Shahdara,2025-10-31,2592.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,Shahdara,2025-11-30,520.3333333333334,Medium Demand,Extend working hours
Delhi,Shahdara,2025-12-31,364.0,Low Demand,No action required
Delhi,South Delhi,2025-03-31,42578.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,South Delhi,2025-04-30,55833.5,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,South Delhi,2025-05-31,49919.333333333336,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,South Delhi,2025-06-30,43730.0,High Demand,Deploy mobile Aadhaar van / add staff
Delhi,South Delhi,2025-07-31,32764.333333333332,High Demand,Deploy mobile Aadhaar van / add staff
